County,Year,Age (<4YO),Gender (M),White,African,Asian,Hispanic,Other,Rate (per 10k),Rate predict
Alameda,2014,1,0,0,1,0,0,0,329.94,299.221777778
Alameda,2014,1,1,0,1,0,0,0,596.67,618.332822222
Alameda,2014,0,0,0,1,0,0,0,223.52,225.082222222
Alameda,2014,0,1,0,1,0,0,0,304.49,254.442055556
Alameda,2014,1,0,0,0,1,0,0,39.63,39.2032222222
Alameda,2014,1,1,0,0,1,0,0,74.65,116.838555556
Alameda,2014,0,0,0,0,1,0,0,17.94,37.3447
Alameda,2014,0,1,0,0,1,0,0,31.88,61.1625333333
Alameda,2014,1,0,0,0,0,1,0,94.97,39.2032222222
Alameda,2014,1,1,0,0,0,1,0,196.55,116.838555556
Alameda,2014,0,0,0,0,0,1,0,70.25,37.3447
Alameda,2014,0,1,0,0,0,1,0,101.44,61.1625333333
Alameda,2014,1,0,0,0,0,0,1,185.09,197.256288889
Alameda,2014,1,1,0,0,0,0,1,422.13,371.863477778
Alameda,2014,0,0,0,0,0,0,1,123.04,134.196655556
Alameda,2014,0,1,0,0,0,0,1,170.9,181.344022222
Alameda,2014,1,0,1,0,0,0,0,37.28,39.2032222222
Alameda,2014,1,1,1,0,0,0,0,67.38,116.838555556
Alameda,2014,0,0,1,0,0,0,0,25.59,37.3447
Alameda,2014,0,1,1,0,0,0,0,39.69,61.1625333333
Amador,2014,0,0,1,0,0,0,0,107.87,104.312733333
Amador,2014,0,1,1,0,0,0,0,87.21,110.665555556
Butte,2014,0,1,0,1,0,0,0,479.26,372.283055556
Butte,2014,1,1,0,0,0,1,0,160.61,144.911777778
Butte,2014,0,1,0,0,0,1,0,49.15,54.74
Butte,2014,1,0,1,0,0,0,0,70.65,70.0725555556
Butte,2014,1,1,1,0,0,0,0,133.26,144.911777778
Butte,2014,0,0,1,0,0,0,0,63.68,61.2111111111
Butte,2014,0,1,1,0,0,0,0,58.95,54.74
Calaveras,2014,1,1,1,0,0,0,0,194.03,211.385655556
Calaveras,2014,0,0,1,0,0,0,0,83.13,75.6936
Calaveras,2014,0,1,1,0,0,0,0,86.79,85.5557777778
Colusa,2014,0,1,0,0,0,1,0,72.76,76.7772444444
Contra Costa,2014,1,0,0,1,0,0,0,296.63,298.544844444
Contra Costa,2014,1,1,0,1,0,0,0,553.77,511.682722222
Contra Costa,2014,0,0,0,1,0,0,0,293.51,252.518822222
Contra Costa,2014,0,1,0,1,0,0,0,306.93,256.191211111
Contra Costa,2014,1,0,0,0,1,0,0,61.84,72.8471746032
